CountyNames,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,hasCoalMine
BRECKINRIDGE,0.04869831546707504,0.05661234169231545,0.06344290138875013,0.07172531157715602,0.0892866045166758,0.09831294396211523,0.1138288333167281,0.0904101387087117,0.06945631946889302,0.06111416987837229,0.06936242618356521,0.07227658834633152,0.06366635481806096,0.06431606192313327,No
BULLITT,0.06486108334999001,0.0731659611327661,0.07738733536803322,0.08578441343585154,0.09292374762846647,0.09528559079726046,0.09835050459803431,0.09607429953953016,0.07115850454353204,0.05975062597709623,0.061725278331776524,0.06204138584011262,0.06290659062573295,0.059870708653704884,No
BUTLER,0.08827852998065765,0.12077749039893408,0.15033346410357,0.18145224940805052,0.1951142631993696,0.2052209466897311,0.22146333804364893,0.1771882871536524,0.10874685929648241,0.1364850007852992,0.12478322560302696,0.11206761621537016,0.10617593973161736,0.1082382172528923,Yes
CALDWELL,0.13080760835671967,0.12591212544635927,0.16881016557566422,0.18313327177593106,0.19200554528650646,0.2137099869501804,0.19304187192118227,0.16598122138589275,0.10554171855541719,0.09828992783181675,0.12917524141206269,0.12308542554871309,0.10435671594841145,0.11830234564995686,No
CALLOWAY,0.09665979381443299,0.09769031023643569,0.10325464754947392,0.10830667461909668,0.11951816299642387,0.12183078025858178,0.13071019292435473,0.13592713077423552,0.09011234786226985,0.08260037251655629,0.08261688999044742,0.07911001236093942,0.07278513499640694,0.07163918873875029,No
CAMPBELL,0.09995910763778454,0.11222848859595479,0.12394407552965624,0.12816738044254103,0.14378542330853702,0.1522999528720641,0.14580365166692238,0.1306235848747033,0.11085015928934121,0.09639181972124528,0.09819309103916234,0.0995714808673744,0.09656124283146453,0.08858351855017951,No
CARLISLE,0.06082118188795088,0.07653161088275592,0.07834282348321225,0.09602972814394681,0.09678683385579938,0.09614620580055622,0.08792520389894569,0.07481347045775358,0.06409997984277363,0.075638911788953,0.13589797198411038,0.20822890559732665,0.2148132517408736,0.14978991596638655,No
CARROLL,0.1388677811550152,0.18669183577159038,0.2133283693224125,0.22106524143015113,0.21820368143557486,0.2454975441149718,0.24296487033290418,0.22577966414467615,0.20022350530825106,0.16785246208575172,0.1591294516676088,0.14196378570095203,0.13312173263629573,0.14768130937823346,No
CARTER,0.10497475018803051,0.10110471559829824,0.0975785528970885,0.10642432967428468,0.12254689754689754,0.1287508596662685,0.12664182074754857,0.14452898550724638,0.11698222916742378,0.08269251794890484,0.07185760328157047,0.06687734254427868,0.057507396449704144,0.0599693995596522,Yes
CASEY,0.05842767295597484,0.06996479758612019,0.07476518472135253,0.08434717170450269,0.11118771544970228,0.10904405757023443,0.11320519221168247,0.12266566735369433,0.10144468381700672,0.07384595847355388,0.07499207606973059,0.0721330130231382,0.07001130227301268,0.0605854322668482,No
CHRISTIAN,0.06799637352674524,0.07287222404550925,0.08111447372074299,0.07626230311610874,0.0754107227367994,0.08477621692257432,0.09823479143299685,0.09093626039232734,0.06720613520373352,0.05970578173109819,0.06659145356287258,0.06831493579635053,0.06198382169928725,0.0645747292828657,No
CLARK,0.14499037992131636,0.17084670662084245,0.1767358747447243,0.1695172297581936,0.17336365933788223,0.1755658407179545,0.15662042875157628,0.1359212376933896,0.10664757733984616,0.10081323611890072,0.10337229087054754,0.09663221816763698,0.0919845218352681,0.08443868405813088,No
